Yazi,Cevap
"Sayıştay, Ovit Tüneli inşaatında 19.5 bin liralık iş için 17 milyon lira ödendiğini, bir köprünün ayağının da 2.95 metre kısa yapıldığını tespit etti. CHP'li Bülent Kuşoğlu, ""Bu nasıl vicdan. Uykularım kaçtı"" diye isyan etti.Karayolları Genel Müdürlüğü'nün hesaplarını inceleyen Sayıştay, Cengiz İnşaat tarafından yapılan Ovit Tüneli'nde yaklaşık maliyeti 19 bin 568 lira olarak hesaplanan bir iş için müteahhit firmaya 17 milyon lira ödendiğini ortaya çıkardı.Sözcü gazetesinin haberine göre; Sayıştay raporunu TBMM'de Ulaştırma ve Altyapı Bakanı Adil Karaismailoğlu'na soran CHP Milletvekili Bülent Kuşoğlu, ""19 bin lira için 17 milyon lira ödenmiş. Köprü ayağı 2.95 metre daha kısa yapılmış, üstelik parası tam ödenmiş. Bu nasıl vicdan? Sayın bakan, gece bu raporu okuyunca canım sıkıldı, üzüldüm. Yataktan kalkamadım"" diye isyan etti.Kuşoğlu, Ovit Tüneli'nin aydınlatması için 6 milyon yerine 21.5 milyon lira ödendiğini de söyleyip, ""Bu vebaldir, günahtır"" dedi. Kuşoğlu, Cumhurbaşkanlığı bütçesinde Sayıştay iddialarına yanıt verilmemesini eleştirdi.Sayıştay raporunda, ""Sonuç olarak yaklaşık maliyette bedeli 19.568,00 TL olarak belirlenin iş kalemi için yaklaşın 17.000.000,00 TL ödeme yapılmıştır"" ifadeleri yer alıyor.Başur Köprüsü'nün bir ayağı 2.95 metre kısa yapılmışSayıştay, Batman'ın Hasankeyf ilçesinde yaptırılan Başur Köprüsü'nde proje değişikliğine gidildiğini, üstelik üst makamlardan onay dahi alınmadığını belirtti. Raporda, ""Köprü çıkış kenar ayak ile orta ayak arasında şev stabilitesi sorunu bulunduğu, çatlaklar oluştuğu, orta ayak yüksekliğinin onaylı projesine göre 2.95 metre daha kısa yapıldığı tespit edilmiştir"" denildi.963 milyon liralık ödeme 31 milyon olarak gösterilmişSayıştay'ın Avrasya Tüneli'yle ilgili çarpıcı tespitlerine de işaret eden Bülent Kuşoğlu, Avrasya Tüneli Projesi'nde idarece verilen talep garantilerinin hatalı muhasebeleştirildiğini, 2019 -2025 dönemi için toplam 963 milyon lira garanti ödemesi öngörülmesine rağmen kayıtlarda bunun 31 milyon lira olarak yer aldığını söyledi. Kuşoğlu, ""Bu nasıl hesaplamalardır, bunlar nasıl kayıtlara geçiriliyor? Anlamak mümkün değil"" dedi.Ovit Tüneli, Cengiz İnşaat tarafından yapılmıştı. Cengiz İnşaat'ın internet sitesinde, proje detayı olarak ""Ovit Tüneli, 12,6 kilometre uzunluğu ile Avrupa’nın en uzun dördüncü karayolu tüneli"" bilgileri veriliyor.kaynak: https://t24.com.tr/haber/sayistay-raporu-ortaya-cikardi-ovit-tuneli-nde-19-5-bin-liralik-is-icin-cengiz-insaat-a-17-milyon-odenmis,917819",O parayi cengize yedirirlermi ona bir rol vermisler asil onemli olan arkadakiler gercek yiyiciler
"Türkiye Büyük Millet Meclisi’nde çeşitli konular hakkında toplam 19 komisyon bulunuyor. Bu komisyonlardan en yenisi ise 28 Temmuz 2020’de kuruldan “Dijital Mecralar Komisyonu”. Dijital Mecralar Komisyonu, ilk toplantısını 1 Aralık’ta gerçekleştirdi ve çalışmalara başladı.Komisyonun ilk toplantısı olduğu için komisyonun başlıca görevleri ve amacı konularına değinildi. Toplantıda söz alan komisyon üyeleri teknolojinin ve internetin öneminden bahsetti.Komisyonda konuşan milletvekilleri, internetin yavaş ve pahalı olmasına vurgu yaparak bu konuda adım atılması gerektiğini belirtti. Mecliste bile internet hızının düşük olduğu ifade edildi.Ayrıca Bkz.Sosyal medya devlerine 30’ar milyon TL’lik ikinci ceza kesildiToplantıda konuşan milletvekilleri, yeni yasalar getirilirken düşünce özgürlüğüne önem verilmesi ve yasakçı kararlarlar alınmaması gerektiğini ifade etti. CHP Milletvekili Buray Erbay, “Yasakçı anlayışın devam etmeyeceğini umut ediyoruz.” dedi. Bu cümle üzerine AK Parti Milletvekili Mustafa Canbey, “Yasakçılık kavramı bugün dünyada çok göreceli bir kavram. Yani kime göre, neye göre yasakçılık?” dedi ve internetteki kısıtlamaların “yasakçılık” olarak ifade edilmesine karşı çıktı. Canbey’e göre internet ortamındaki kısıtlamalar milletin ve devletin hakkını korumak için uygulanıyor. Dijital Mecralar Komisyon Başkanı ve AK Parti Milletvekili Hüseyin Yayman ise konu hakkında “Bu internet yasakları meselesinde tabii ki yasakçılığın biz hepsine karşıyız.” cümlesini kullandı.Dijital Mecralar Komisyonu; bireylerin kişilik haklarına, özel hayatın gizliliğine ve diğer temel hak ve özgürlüklere aykırı , çocukların fiziksel ve psikolojik gelişimine zarar verici şekilde internet kullanımının önlenmesi amacıyla alınan tedbirler ve yapılan iş ve işlemler hakkında inceleme yapma, görüşmeler yapma, raporlama, tavsiye, görüş bildirme işlemlerini yürütme amacıylaKomisyon üyeleri; internet kullanımına, kanunlara, bireylerin kişilik haklarına, özel hayatın gizliliğine, diğer temel hak ve özgürlüklere aykırı yahut çocukların fiziksel ve psikolojik gelişmelerine zarar verici şekilde gerçekleşmesinin önlenmesi konularında görüş ve önerilerde bulunacak. İnternet kullanımı yoluyla işlenen suçlarla etkin şekilde mücadele edilmesi konusunda görüş ve öneriler sunacak. İnternet kullanımı ve etkileriyle ilgili uluslararası alanda kabul gören gelişmeleri izleyecek, bu konular hakkında gerektiğinde yurt dışında incelemelerde bulunacak ve bu gelişmeler konusunda görüş ve öneriler sunacak. Dijital Mecralar Komisyonu, 17 üyeden oluşuyor.","''internetteki kısıtlamaların “yasakçılık” olarak ifade edilmesine karşı çıktı. Canbey’e göre internet ortamındaki kısıtlamalar milletin ve devletin hakkını korumak için uygulanıyor.''Televizyonda milleti uyuşturduk ama internet'e el atamadık orayı da ele geçireceğiz demiş meali, kusura bakmayın ama artık yemezler,yediğiniz ekmeğin kırıntısı bile artık internet'te.."
"31 Temmuz 2020 tarihinde yürürlüğe giren sosyal medya yasası kapsamında Türkiye’den günlük 1 milyondan fazla erişim elde eden platformların Türkiye’de bir kişiyi temsilci olarak belirlemesi gerekiyor. Temsilci belirlemeyen şirketlere geçen ay 10’ar milyon TL ceza kesilmişti. Bu ay ikinci aşama devreye girdi ve 30’ar milyon TL’lik yeni ceza kesildi.Ayrıca Bkz.Resmen açıklandı: Netflix İstanbul’a ofis açıyorTürkiye’de yalnızca Rus menşeili VK platformu temsilci atadı. Temsilci atamayan Facebook, Twitter, YouTube ve Tiktok platformlarına 30’ar milyon TL ceza kesildi.Temsilci belirlemeyen şirketlere 5 aşamalı ceza uygulanıyor. İlk 2 aşama devreye girdi. Bu platformlar temsilci atamamaya devam ederse sırasıyla şu cezalar devreye girecek:",Bu cezaları kesiyorlar da tahsil edebiliyorlar mı merak ediyorum.
"Bi şunun gibi yapamıyoruz. Helal olsun kendini feda eden güzel vatandaşımız. Umarım sıkıntı yaşamaz.Saygı çerçevesinde tartışabiliriz(yorumlarda) . Ülke için gerek yok tartışmaya , DUR demek gerek.. Sonumuz hayrolsun bakalım Berat Albayrak'ın dediği gibi.  ","fakir çalımasını bilmediği için fakirdir. bak passatla gezenlere, halkın parasını vergilerle çalıyor. az kafanızı kullanın fakirler."
"Haberi okuduğumdan beri kendime gelemiyorum. Hahahahhahahahaha. ""Türkiye'de sanayiden bankacılığa, medyadan gayrimenkule kadar birçok sektörde alım yapan Katar, safkan Arap atı spermi de satın aldı. Tamerinoğlu, Turbo ve Ayabakan adlı aygırların toplam 60 doz dondurulmuş sperması Katar’a satıldı.Borsa İstanbul’daki yüzde 10’luk payın Katarlılara satılmasının ardından Katarlılarla yapılan anlaşmalar tepkilere neden olurken, TBMM KİT Komisyonu’nda sperma satışı tartışıldı. CHP Zonguldak Milletvekili Deniz Yavuzyılmaz TİGEM Genel Müdürü Ayşe Ayşin Işıkgece'ye sperma satışlarını sordu ve “İhale yapıldı mı, her bir doz kaça satıldı?” diye sordu. Genel Müdür ise sperma üretilip satıldığını belirtti ancak fiyat açıklamadı.Yavuzyılmaz, “TİGEM'in sahibi olduğu safkan Arap atlarından Turbo'dan 30 doz, Tamerinoğlu ve Ayabakan'dan 15'er dondurulmuş aygır sperması Katar'a satıldı. Katar adı geçince sormak gerekiyor: Bu konuda ihale yapıldı mı? Yapıldıysa bu ihaleye hangi ülkelerden hangi şirketler girdi, ne fiyat verildi. Spermaları satılan Turbo, 2009'da, Ayabakan ise 2008’de Dünya Arap Atı Organizasyonu’nca yılın en iyi atları seçilmişti” dedi.""60 doz safkan Arap atı spermi Katar'a satıldı (t24.com.tr)",Arkadaşlar az önce bilgi geldi yanlışlıkla beni de Katar'a satmışlar Allah'a emanet olun vatan görevi bu.
Alman yayıncı audi a1 için bağış barı açtı ve hedef bağış miktarı olarak 3100 euro belirledi3100 euroevet yanlış görmediniz3100eurogelelim a1 in türkiye fiyatlarınaama oralarda domates taneylen alıyorlar herşeyimiz dörtdörtlük ama insanlarımız nankör,nası eyleniyozmu genjler
"Sadece savaş dönemlerinde kullanılan ve Kıbrıs Barış Harekatı’ndan beri ataması yapılmayan ‘Din İşleri Subaylığı’ için iktidar tarafından yeniden kadro açıldı.Yeni Akit'ten Faruk Arslan'ın haberine göre, Kıbrıs Harekatı’ndan bu yana ataması yapılmayan Din İşleri Subayı kadrosu tekrar hayata geçiriliyor. Türk Silahlı Kuvvetleri (TSK) tarafından verilen atama ilanında, kadro için yer açıldı.Kuvvet komutanlıklarının tamamında yer alacak Din Subaylığı’nın tarifi, TSK’nın “Subay İhtisasları” bilgilendirme bölümünde şöyle yapıldı “Personelin, moral, sosyal refah ve mutluluğunun arzu edildiği seviyeye ulaşması için manevi telkinlerde bulunur. Din eğitimini, ibadet ve dinî törenleri idare eder. İbadethane ihtiyaçlarını ilgili makamlarla eş güdüm sağlamak suretiyle sağlar. Din işlerini sevk ve idare eder.”Akit haberi 'Müjde' olarak duyurdu.Akit ise, gelişmeyi bugünkü sürmanşetiyle okurlarına müjdeledi. “60 yıl sonra ‘Din Subaylığı’ müjdesi” başlığı kullanılan haberde, “Ecdadın şanlı zaferlerinin kilidi olan ve Mehmetçiğin milli ve manevi değerlerini en üst seviyeye çıkaran Din Subaylığı birimine personel alımı için başvurular 10 Aralık’a kadar sürecek” ifadeleri kullanıldı.Söz konusu kadro, sadece savaş dönemlerinde hayata geçiriliyordu.Bu sebeple kadro, en son Kıbrıs Barış Harekatı’nda kullanıldı.FETÖ’den kapatılan Zaman gazetesinden Yeni Şafak’a, Diyanet-Sen’den AKP’ye yakınlığı ile bilinen ÖNDER İmam Hatipliler Derneği’ne kadar farklı gazete ve kurumlar dönem dönem kadronun geri getirilmesini talebi yinelerken son olarak Akit gazetesi bu talebi dile getirmişti.https://onedio.com/haber/yillar-sonra-geri-geldi-bakanlik-din-subayligi-icin-ilan-acti-945254https://www.yeniakit.com.tr/haber/60-yil-sonra-din-subayligi-mujdesi-1465167.html",İman Power forever....
"Fransada benzine 5 kuruş zam geliyor ,millet ortalığı yıkıyor Mikrofon tutuyorlar bizim ülkede ekonomi nasıl diye ? Herkes kötü diyor , şikayet ediyor evet doğru Fakat madem herkes şikayetçi Neden kimse protesto etmiyor , neden kimse ayaklanmiyor 2000 kişinin birleşip yürüyüş yapması cokmu zor ? RTE 15 temmuzda kendi soyledi halkın gücünün üstünde güç yok diye ",Bırak protestoyu gidip ampule basıyorlar bu ülkede müthiş bi cehalet var ah hele yaşlılar.
 BUNE BÖYLE,
Habertürkte para cezası ve yayın durdurma cezası geldi chpli milletvekilinin söylediği sözler yüzünden türkiyede basının ve özgürlüğün geriye gidişine her gün şahit oluyoruz bu düzene alışmış milyonlarca koyun yine sorgayamıyor türkiye hiçbir zaman bu kadar dipte olmamıştı sanırım.,"quote:Orijinalden alıntı:  kerimcembirtek ortada giden haberturk kaldı zaten, adamın dediklerinden kanal niye sorumlu tutulmuş komedi cidden bu rtük, gidersin şahsa dava açarsın hakaret varsa saçmalıyorlar artık.konuklara chipmi takıcaklar yayından once Kerimcan sana ne olmuş böyle.  Avanta kesildi galiba  Seni B.Arınç a benzetiyorum.Hangi bayrağa selam verdiğin belli değil"
